
ACCX_Angle -177.04	ACCY_Angle 175.99		GRYX_Angle -245.75	GYRY_Angle -241.46	GYRZ_Angle -241.34		CFangleX_Angle -177.88	CFangleY_Angle 175.29		HEADING  138.45	tiltCompensatedHeading 163.13
ACCX_Angle -176.06	ACCY_Angle 178.56		GRYX_Angle -245.94	GYRY_Angle -241.66	GYRZ_Angle -241.56		CFangleX_Angle -177.67	CFangleY_Angle 175.79		HEADING  138.45	tiltCompensatedHeading 164.54
ACCX_Angle -176.20	ACCY_Angle 176.51		GRYX_Angle -246.16	GYRY_Angle -241.87	GYRZ_Angle -241.77		CFangleX_Angle -177.55	CFangleY_Angle 175.76		HEADING  138.72	tiltCompensatedHeading 166.93
ACCX_Angle -176.47	ACCY_Angle 175.45		GRYX_Angle -246.40	GYRY_Angle -242.11	GYRZ_Angle -242.01		CFangleX_Angle -177.52	CFangleY_Angle 175.51		HEADING  138.72	tiltCompensatedHeading 166.76
ACCX_Angle -176.90	ACCY_Angle 175.82		GRYX_Angle -246.64	GYRY_Angle -242.35	GYRZ_Angle -242.25		CFangleX_Angle -177.59	CFangleY_Angle 175.38		HEADING  136.85	tiltCompensatedHeading 162.95
ACCX_Angle -176.48	ACCY_Angle 176.76		GRYX_Angle -246.86	GYRY_Angle -242.58	GYRZ_Angle -242.46		CFangleX_Angle -177.55	CFangleY_Angle 175.48		HEADING  135.93	tiltCompensatedHeading 163.02
ACCX_Angle -177.54	ACCY_Angle 176.88		GRYX_Angle -247.07	GYRY_Angle -242.79	GYRZ_Angle -242.67		CFangleX_Angle -177.72	CFangleY_Angle 175.59		HEADING  135.45	tiltCompensatedHeading 156.46
ACCX_Angle -176.77	ACCY_Angle 174.93		GRYX_Angle -247.28	GYRY_Angle -243.00	GYRZ_Angle -242.88		CFangleX_Angle -177.70	CFangleY_Angle 175.29		HEADING  136.85	tiltCompensatedHeading 164.55
ACCX_Angle -177.25	ACCY_Angle 174.76		GRYX_Angle -247.48	GYRY_Angle -243.20	GYRZ_Angle -243.08		CFangleX_Angle -177.76	CFangleY_Angle 175.03		HEADING  136.17	tiltCompensatedHeading 162.49
ACCX_Angle -176.87	ACCY_Angle 176.53		GRYX_Angle -247.67	GYRY_Angle -243.38	GYRZ_Angle -243.27		CFangleX_Angle -177.74	CFangleY_Angle 175.17		HEADING  135.23	tiltCompensatedHeading 160.97
ACCX_Angle -177.03	ACCY_Angle 177.35		GRYX_Angle -247.85	GYRY_Angle -243.61	GYRZ_Angle -243.50		CFangleX_Angle -177.74	CFangleY_Angle 175.43		HEADING  135.23	tiltCompensatedHeading 158.63
ACCX_Angle -176.55	ACCY_Angle 176.78		GRYX_Angle -248.08	GYRY_Angle -243.84	GYRZ_Angle -243.73		CFangleX_Angle -177.68	CFangleY_Angle 175.51		HEADING  136.16	tiltCompensatedHeading 163.00
ACCX_Angle -176.84	ACCY_Angle 173.93		GRYX_Angle -248.30	GYRY_Angle -244.06	GYRZ_Angle -243.95		CFangleX_Angle -177.69	CFangleY_Angle 175.02		HEADING  135.24	tiltCompensatedHeading 164.89
ACCX_Angle -176.18	ACCY_Angle 176.59		GRYX_Angle -248.52	GYRY_Angle -244.28	GYRZ_Angle -244.18		CFangleX_Angle -177.56	CFangleY_Angle 175.16		HEADING  135.69	tiltCompensatedHeading 164.69
ACCX_Angle -177.14	ACCY_Angle 176.93		GRYX_Angle -248.75	GYRY_Angle -244.52	GYRZ_Angle -244.42		CFangleX_Angle -177.67	CFangleY_Angle 175.33		HEADING  135.69	tiltCompensatedHeading 159.19
ACCX_Angle -176.14	ACCY_Angle 177.97		GRYX_Angle -248.97	GYRY_Angle -244.73	GYRZ_Angle -244.63		CFangleX_Angle -177.53	CFangleY_Angle 175.68		HEADING  138.72	tiltCompensatedHeading 165.68
ACCX_Angle -176.72	ACCY_Angle 175.39		GRYX_Angle -249.20	GYRY_Angle -244.97	GYRZ_Angle -244.87		CFangleX_Angle -177.56	CFangleY_Angle 175.43		HEADING  137.57	tiltCompensatedHeading 165.04
ACCX_Angle -175.42	ACCY_Angle 175.51		GRYX_Angle -249.43	GYRY_Angle -245.20	GYRZ_Angle -245.10		CFangleX_Angle -177.31	CFangleY_Angle 175.27		HEADING  137.57	tiltCompensatedHeading 171.10
ACCX_Angle -176.70	ACCY_Angle 176.09		GRYX_Angle -249.69	GYRY_Angle -245.45	GYRZ_Angle -245.35		CFangleX_Angle -177.40	CFangleY_Angle 175.23		HEADING  136.61	tiltCompensatedHeading 163.22
ACCX_Angle -177.21	ACCY_Angle 176.72		GRYX_Angle -249.95	GYRY_Angle -245.72	GYRZ_Angle -245.61		CFangleX_Angle -177.57	CFangleY_Angle 175.32		HEADING  136.61	tiltCompensatedHeading 159.72
ACCX_Angle -176.58	ACCY_Angle 176.03		GRYX_Angle -250.22	GYRY_Angle -245.98	GYRZ_Angle -245.88		CFangleX_Angle -177.59	CFangleY_Angle 175.25		HEADING  136.86	tiltCompensatedHeading 164.20
ACCX_Angle -176.56	ACCY_Angle 177.70		GRYX_Angle -250.45	GYRY_Angle -246.21	GYRZ_Angle -246.11		CFangleX_Angle -177.57	CFangleY_Angle 175.55		HEADING  137.33	tiltCompensatedHeading 162.23
ACCX_Angle -176.63	ACCY_Angle 175.99		GRYX_Angle -250.65	GYRY_Angle -246.42	GYRZ_Angle -246.32		CFangleX_Angle -177.54	CFangleY_Angle 175.47		HEADING  137.33	tiltCompensatedHeading 164.45
ACCX_Angle -176.43	ACCY_Angle 176.69		GRYX_Angle -250.86	GYRY_Angle -246.62	GYRZ_Angle -246.52		CFangleX_Angle -177.48	CFangleY_Angle 175.55		HEADING  138.91	tiltCompensatedHeading 165.45
ACCX_Angle -177.20	ACCY_Angle 176.93		GRYX_Angle -251.11	GYRY_Angle -246.88	GYRZ_Angle -246.75		CFangleX_Angle -177.63	CFangleY_Angle 175.63		HEADING  139.03	tiltCompensatedHeading 162.09
ACCX_Angle -176.62	ACCY_Angle 176.25		GRYX_Angle -251.34	GYRY_Angle -247.10	GYRZ_Angle -247.00		CFangleX_Angle -177.61	CFangleY_Angle 175.57		HEADING  139.61	tiltCompensatedHeading 165.54
ACCX_Angle -176.77	ACCY_Angle 176.55		GRYX_Angle -251.58	GYRY_Angle -247.35	GYRZ_Angle -247.24		CFangleX_Angle -177.64	CFangleY_Angle 175.57		HEADING  139.61	tiltCompensatedHeading 164.43
