
ACCX_Angle -176.52	ACCY_Angle 176.60		GRYX_Angle -23.99	GYRY_Angle -24.01	GYRZ_Angle -23.99		CFangleX_Angle -177.60	CFangleY_Angle 174.97		HEADING  133.11	tiltCompensatedHeading 160.86
ACCX_Angle -177.16	ACCY_Angle 174.84		GRYX_Angle -24.23	GYRY_Angle -24.25	GYRZ_Angle -24.23		CFangleX_Angle -177.71	CFangleY_Angle 174.75		HEADING  133.11	tiltCompensatedHeading 160.62
ACCX_Angle -177.07	ACCY_Angle 175.60		GRYX_Angle -24.47	GYRY_Angle -24.48	GYRZ_Angle -24.46		CFangleX_Angle -177.77	CFangleY_Angle 174.73		HEADING  133.17	tiltCompensatedHeading 159.56
ACCX_Angle -175.96	ACCY_Angle 177.76		GRYX_Angle -24.72	GYRY_Angle -24.70	GYRZ_Angle -24.68		CFangleX_Angle -177.61	CFangleY_Angle 175.17		HEADING  132.88	tiltCompensatedHeading 161.62
ACCX_Angle -176.42	ACCY_Angle 178.60		GRYX_Angle -24.96	GYRY_Angle -24.94	GYRZ_Angle -24.92		CFangleX_Angle -177.56	CFangleY_Angle 175.66		HEADING  132.88	tiltCompensatedHeading 156.91
ACCX_Angle -176.10	ACCY_Angle 176.66		GRYX_Angle -25.20	GYRY_Angle -25.17	GYRZ_Angle -25.15		CFangleX_Angle -177.46	CFangleY_Angle 175.67		HEADING  135.00	tiltCompensatedHeading 164.58
ACCX_Angle -177.56	ACCY_Angle 174.93		GRYX_Angle -25.43	GYRY_Angle -25.41	GYRZ_Angle -25.39		CFangleX_Angle -177.67	CFangleY_Angle 175.33		HEADING  135.00	tiltCompensatedHeading 160.12
ACCX_Angle -176.14	ACCY_Angle 176.41		GRYX_Angle -25.69	GYRY_Angle -25.66	GYRZ_Angle -25.62		CFangleX_Angle -177.56	CFangleY_Angle 175.35		HEADING  135.00	tiltCompensatedHeading 164.96
ACCX_Angle -176.88	ACCY_Angle 175.85		GRYX_Angle -25.91	GYRY_Angle -25.89	GYRZ_Angle -25.88		CFangleX_Angle -177.61	CFangleY_Angle 175.27		HEADING  135.73	tiltCompensatedHeading 163.03
ACCX_Angle -176.84	ACCY_Angle 175.96		GRYX_Angle -26.18	GYRY_Angle -26.16	GYRZ_Angle -26.15		CFangleX_Angle -177.67	CFangleY_Angle 175.19		HEADING  135.73	tiltCompensatedHeading 163.06
ACCX_Angle -177.37	ACCY_Angle 176.70		GRYX_Angle -26.42	GYRY_Angle -26.40	GYRZ_Angle -26.40		CFangleX_Angle -177.80	CFangleY_Angle 175.30		HEADING  137.39	tiltCompensatedHeading 160.01
ACCX_Angle -177.01	ACCY_Angle 175.36		GRYX_Angle -26.66	GYRY_Angle -26.64	GYRZ_Angle -26.63		CFangleX_Angle -177.83	CFangleY_Angle 175.12		HEADING  135.71	tiltCompensatedHeading 162.53
