
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.67	GYRY_Angle  1.76	GYRZ_Angle  1.88		CFangleX_Angle -179.86	CFangleY_Angle -162.08		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.70	GYRY_Angle  1.79	GYRZ_Angle  1.91		CFangleX_Angle -179.86	CFangleY_Angle -162.07		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.72	GYRY_Angle  1.81	GYRZ_Angle  1.93		CFangleX_Angle -179.86	CFangleY_Angle -162.06		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.75	GYRY_Angle  1.84	GYRZ_Angle  1.96		CFangleX_Angle -179.86	CFangleY_Angle -162.05		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.77	GYRY_Angle  1.86	GYRZ_Angle  1.98		CFangleX_Angle -179.86	CFangleY_Angle -162.04		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.80	GYRY_Angle  1.89	GYRZ_Angle  2.01		CFangleX_Angle -179.86	CFangleY_Angle -162.03		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.82	GYRY_Angle  1.92	GYRZ_Angle  2.03		CFangleX_Angle -179.86	CFangleY_Angle -162.03		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.12		GRYX_Angle  4.85	GYRY_Angle  1.94	GYRZ_Angle  2.06		CFangleX_Angle -179.86	CFangleY_Angle -162.03		HEADING  352.87	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.87	GYRY_Angle  1.98	GYRZ_Angle  2.10		CFangleX_Angle -179.86	CFangleY_Angle -162.10		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.90	GYRY_Angle  2.00	GYRZ_Angle  2.12		CFangleX_Angle -179.86	CFangleY_Angle -162.16		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.92	GYRY_Angle  2.03	GYRZ_Angle  2.15		CFangleX_Angle -179.86	CFangleY_Angle -162.21		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.95	GYRY_Angle  2.05	GYRZ_Angle  2.18		CFangleX_Angle -179.86	CFangleY_Angle -162.25		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.97	GYRY_Angle  2.07	GYRZ_Angle  2.20		CFangleX_Angle -179.87	CFangleY_Angle -162.29		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  4.99	GYRY_Angle  2.10	GYRZ_Angle  2.22		CFangleX_Angle -179.87	CFangleY_Angle -162.31		HEADING  352.95	tiltCompensatedHeading 270.00
