secs,time, cad, hr, km, kph, watts, alt, lon, lat, slope, temp, lrbalance
800,280,70,170,2.75657,40.1868,167,101,144.404,-37.8874,-8.88E-17,22,50
801,281,70,170,2.76717,40.1184,166,101,144.404,-37.8875,-8.88E-17,22,50
802,282,71,170,2.77874,40.176,157,101,144.404,-37.8876,-8.88E-17,22,49
803,283,71,170,2.78999,40.2552,153,101,144.404,-37.8877,-8.88E-17,22,48
804,284,71,171,2.80174,40.7088,155,101,144.404,-37.8878,-8.88E-17,22,47
805,285,71,171,2.81329,41.7888,151,101,144.404,-37.8879,-8.88E-17,22,47
806,286,72,171,2.82514,41.7204,140,101,144.404,-37.8881,-8.88E-17,22,48
807,287,72,171,2.83697,42.6492,135,101,144.404,-37.8882,-8.88E-17,22,49
808,288,72,172,2.84856,42.012,121,101,144.404,-37.8883,-8.88E-17,22,46
809,289,72,171,2.86015,42.0624,124,101,144.404,-37.8884,-8.88E-17,22,45
810,290,73,172,2.87174,41.9256,124,101,144.404,-37.8885,-8.88E-17,22,45
811,291,73,171,2.88371,41.9472,139,101,144.404,-37.8886,-8.88E-17,22,45
812,292,73,172,2.89581,42.7212,155,101,144.404,-37.8887,-8.88E-17,22,45
813,293,73,172,2.90782,42.6528,140,101,144.404,-37.8888,-8.88E-17,22,45
814,294,73,172,2.91987,42.5772,136,101,144.404,-37.8889,-8.88E-17,22,44
815,295,74,172,2.93124,41.7816,135,101,144.404,-37.889,-8.88E-17,22,44
816,296,74,172,2.9428,41.0976,135,101,144.403,-37.8891,-8.88E-17,22,44
817,297,74,172,2.95449,41.2272,113,101,144.403,-37.8892,-8.88E-17,22,44
818,298,74,173,2.96647,41.3712,111,101,144.403,-37.8893,-8.88E-17,22,43
819,299,74,173,2.9786,42.9696,111,101,144.403,-37.8894,-8.88E-17,22,43
820,300,74,173,2.99074,42.9012,111,101,144.403,-37.8895,-8.88E-17,22,46
821,301,74,173,3.00255,43.362,96,101,144.403,-37.8896,-8.88E-17,22,44
822,302,74,173,3.01424,42.8076,95,101,144.403,-37.8897,-8.88E-17,22,45
823,303,74,173,3.02603,43.3116,95,101,144.403,-37.8898,-8.88E-17,22,45
824,304,74,172,3.038,42.9048,105,101,144.403,-37.89,-8.88E-17,22,45
825,305,74,172,3.05005,43.3908,112,101,144.403,-37.8901,-8.88E-17,22,45
826,306,74,172,3.06217,43.3332,112,101,144.403,-37.8902,-8.88E-17,22,46
827,307,74,172,3.07509,44.406,113,101,144.403,-37.8903,-8.88E-17,22,45
828,308,74,172,3.08789,45.09,115,101,144.403,-37.8904,-8.88E-17,22,43
829,309,74,172,3.10053,44.9748,116,101,144.403,-37.8905,-8.88E-17,22,42
830,310,74,172,3.11217,43.8984,99,101,144.403,-37.8906,-8.88E-17,22,42
