time, x, y, z
0.44700, -1.95312, -0.29297, 1.90430 
0.44800, -1.61133, -0.04883, 2.44141 
0.44900, -1.31836, -0.04883, 1.80664 
0.45000, -1.61133, 0.19531, 2.49023 
0.45100, -2.78320, -0.14648, 2.29492 
0.45200, -1.80664, -0.73242, 1.95312 
0.45300, -1.36719, -0.58594, 2.44141 
0.45400, -0.92773, -1.22070, 2.29492 
0.45500, -1.22070, -0.83008, 1.95312 
0.45600, -0.78125, 0.19531, 3.46680 
0.45700, -1.70898, -0.04883, 3.46680 
0.45800, -1.22070, -0.73242, 2.44141 
0.45900, -1.90430, -0.58594, 2.49023 
0.46000, -1.80664, -0.48828, 1.80664 
0.46100, -1.07422, -0.73242, 0.78125 
0.46200, -0.58594, -0.34180, 1.36719 
0.46300, -0.58594, -1.17188, 1.70898 
0.46400, -0.92773, -0.48828, 2.97852 
0.46500, -0.97656, -0.97656, 2.24609 
0.46600, -1.66016, -0.24414, 3.32031 
0.46700, -1.07422, -0.97656, 2.92969 
0.46800, -1.61133, -0.58594, 2.39258 
0.46900, -1.36719, -0.39062, 2.34375 
0.47000, -1.61133, -0.43945, 3.12500 
0.47100, -1.36719, -0.68359, 2.09961 
0.47200, -1.07422, -0.58594, 3.61328 
0.47300, -0.87891, -0.73242, 2.00195 
0.47400, -1.22070, -0.63477, 2.97852 
0.47500, -2.00195, -0.92773, 1.56250 
0.47600, -1.66016, -0.09766, 2.19727 
0.47700, -1.22070, -0.58594, 2.39258 
0.47800, -0.97656, -0.63477, 2.19727 
0.47900, -0.39062, -0.04883, 2.73438 
0.48000, -1.31836, -0.63477, 1.90430 
0.48100, -1.26953, -0.53711, 2.00195 
0.48200, -1.51367, -0.09766, 2.29492 
0.48300, -1.41602, -0.43945, 1.56250 
0.48400, -1.22070, 0.34180, 3.12500 
0.48500, -1.22070, -1.17188, 2.19727 
0.48600, -0.73242, -0.24414, 2.19727 
0.48700, -0.83008, 0.34180, 2.24609 
0.48800, -0.78125, -0.14648, 2.83203 
0.48900, -0.83008, 0.34180, 2.39258 
0.49000, -1.61133, 0.00000, 2.34375 
0.49100, -1.02539, -0.43945, 3.22266 
0.49200, -1.66016, -0.63477, 1.36719 
0.49300, -0.97656, -1.26953, 0.78125 
0.49400, -0.83008, -0.73242, 1.95312 
0.49500, -1.07422, -0.68359, 1.17188 
0.49600, -1.22070, 0.19531, 0.83008 
0.49700, -1.17188, -0.83008, 2.92969 
0.49800, -1.61133, -0.04883, 2.88086 
0.49900, -1.61133, -0.53711, 2.53906 
0.50000, -1.61133, -0.53711, 3.36914 
0.50100, -1.66016, -0.48828, 1.56250 
0.50200, -1.61133, -0.43945, 3.22266 
0.50300, -1.66016, -0.43945, 2.73438 
0.50400, -1.31836, -0.58594, 2.58789 
0.50500, -1.46484, -0.19531, 2.14844 
0.50600, -1.51367, -0.58594, 1.95312 
0.50700, -1.51367, 0.29297, 2.09961 
0.50800, -1.56250, 0.34180, 3.27148 
0.50900, -1.80664, -0.39062, 3.80859 
0.51000, -1.85547, -0.24414, 2.49023 
0.51100, -1.95312, 0.00000, 1.80664 
0.51200, -1.41602, 0.43945, 2.63672 
0.51300, -2.14844, -0.09766, 2.09961 
0.51400, -2.19727, -0.09766, 2.73438 
0.51500, -1.17188, -0.83008, 2.49023 
0.51600, -1.46484, 0.48828, 1.61133 
0.51700, -1.12305, 0.24414, 1.61133 
0.51800, -1.70898, 0.24414, 2.39258 
0.51900, -1.17188, 0.34180, 2.29492 
0.52000, -1.41602, -0.83008, 2.05078 
0.52100, -1.31836, -0.04883, 1.26953 
0.52200, -1.07422, 0.92773, 1.61133 
0.52300, -1.12305, -0.43945, 2.92969 
0.52400, -0.78125, -0.34180, 1.56250 
0.52500, -0.87891, -0.78125, 3.22266 
0.52600, -0.92773, -0.83008, 2.58789 
0.52700, -0.04883, 0.58594, 1.61133 
0.52800, -0.48828, -0.14648, 1.85547 
0.52900, -1.61133, 0.53711, 1.46484 
0.53000, -1.36719, 0.39062, 1.12305 
0.53100, -0.92773, -0.04883, 1.80664 
0.53200, -1.26953, 0.83008, 2.49023 
0.53300, -1.70898, 0.19531, 2.05078 
0.53400, -0.97656, -0.39062, 3.32031 
0.53500, -1.41602, 0.97656, 1.95312 
0.53600, -0.97656, -0.73242, 0.92773 
0.53700, -1.02539, -1.07422, 2.24609 
0.53800, -1.26953, 0.09766, 2.68555 
0.53900, -1.90430, -0.34180, 0.92773 
0.54000, -1.46484, -0.34180, 1.75781 
0.54100, -1.17188, 0.19531, 1.12305 
0.54200, -0.78125, -0.39062, 2.14844 
0.54300, -0.92773, -0.83008, 2.53906 
0.54400, -0.97656, -0.09766, 2.00195 
0.54500, -1.31836, -0.48828, 2.00195 
0.54600, -0.63477, -0.34180, 3.56445 
0.54700, -0.87891, -0.73242, 2.92969 
0.54800, -1.07422, 0.04883, 3.22266 
0.54900, -1.02539, 0.04883, 1.85547 
0.55000, -1.12305, -0.48828, 0.53711 
0.55100, -1.12305, -0.39062, 2.53906 
0.55200, -0.83008, -0.97656, 1.85547 
0.55300, -0.68359, 0.39062, 1.22070 
0.55400, -1.51367, 0.04883, 0.83008 
0.55500, -0.97656, -0.29297, 3.32031 
0.55600, -0.92773, -0.14648, 3.07617 
0.55700, -1.07422, -0.19531, 1.61133 
0.55800, -0.83008, 0.34180, 2.73438 
0.55900, -1.26953, 0.04883, 2.58789 
0.56000, -1.17188, -0.43945, 2.14844 
0.56100, -1.61133, -0.09766, 2.24609 
0.56200, -1.41602, 0.29297, 2.34375 
0.56300, -1.75781, 0.29297, 2.68555 
0.56400, -2.53906, 0.87891, 1.22070 
0.56500, -2.29492, 0.19531, 1.70898 
0.56600, -2.09961, -1.41602, 2.19727 
0.56700, -1.80664, -0.24414, 1.17188 
0.56800, -1.66016, 0.43945, 1.56250 
0.56900, -0.48828, -0.24414, 2.68555 
0.57000, -0.53711, -0.24414, 1.26953 
0.57100, -1.66016, -0.14648, 1.95312 
0.57200, -1.80664, 0.00000, 3.12500 
0.57300, -2.05078, -0.14648, 4.05273 
0.57400, -2.19727, -0.53711, 1.80664 
0.57500, -1.12305, -0.83008, 2.14844 
